,number,value,datetime_start,datetime_complete,duration,params_batch_size_pow,params_exploration_final_eps,params_exploration_fraction,params_learning_rate,params_net_arch,params_one_minus_gamma,params_subsample_steps,params_target_update_interval,params_train_freq,user_attrs_batch_size,user_attrs_gamma,state
0,0,0.13969,2026-01-08 19:11:14.351444,2026-01-08 19:17:15.660414,0 days 00:06:01.308970,9,0.12848698598436992,0.0325560925310141,0.00016607700346357455,small,0.010690757502486941,2,69,2,512,0.9893092424975131,COMPLETE
1,1,0.235801,2026-01-08 19:11:14.352448,2026-01-08 19:21:58.647579,0 days 00:10:44.295131,3,0.1211011640731392,0.4817279485612022,0.00019576514365757244,big,0.018328376445735414,1,1,1,8,0.9816716235542646,COMPLETE
2,2,0.051083,2026-01-08 19:17:15.661416,2026-01-08 19:21:37.141311,0 days 00:04:21.479895,9,0.0753436216931154,0.18256200192119548,0.000738928095150621,medium,0.00029812158782004686,4,678,9,512,0.99970187841218,COMPLETE
3,3,-0.53675,2026-01-08 19:21:37.141815,2026-01-08 19:25:30.315729,0 days 00:03:53.173914,6,0.10933830685378641,0.21710074793322492,0.00019742912874911017,big,0.0014418729389536944,2,19788,3,64,0.9985581270610463,COMPLETE
4,4,0.571459,2026-01-08 19:21:58.647579,2026-01-08 19:28:24.601911,0 days 00:06:25.954332,2,0.08166095738108024,0.33267672505794693,0.001956345320525982,small,0.016708540218086633,1,2948,7,4,0.9832914597819133,COMPLETE
5,5,0.0,2026-01-08 19:25:30.315729,2026-01-08 19:27:35.784378,0 days 00:02:05.468649,7,0.18415953891676312,0.4787048179528262,0.00043877754312401923,big,0.0002698416527993065,8,9,10,128,0.9997301583472007,COMPLETE
6,6,-0.139119,2026-01-08 19:27:35.784378,2026-01-08 19:30:49.459261,0 days 00:03:13.674883,11,0.07339350047849556,0.3665631366670439,0.0002977848767783782,small,0.026608978465355926,7,15,9,2048,0.9733910215346441,COMPLETE
7,7,0.616145,2026-01-08 19:28:24.602912,2026-01-08 19:31:42.769749,0 days 00:03:18.166837,2,0.013981162673719983,0.1457021285825098,7.134329517076923e-05,medium,0.0006251619063727837,2,234,3,4,0.9993748380936273,COMPLETE
8,8,0.055683,2026-01-08 19:30:49.460270,2026-01-08 19:44:57.531441,0 days 00:14:08.071171,8,0.09504592849672192,0.3537890701484294,0.0005192479079543657,big,0.00018982980950236773,1,537,2,256,0.9998101701904977,COMPLETE
9,9,-0.26664,2026-01-08 19:31:42.769749,2026-01-08 19:35:04.673993,0 days 00:03:21.904244,8,0.038537169966860275,0.13654298849880708,2.5437773635777596e-05,big,0.01235293505770377,3,5980,5,256,0.9876470649422963,COMPLETE
10,10,-0.62518,2026-01-08 19:35:04.673993,2026-01-08 19:44:22.254492,0 days 00:09:17.580499,10,0.09500683152478893,0.4276890952364851,4.0016478091127686e-05,big,0.0022473229351794586,3,3,7,1024,0.9977526770648205,COMPLETE
11,11,0.060158,2026-01-08 19:44:22.255494,2026-01-08 19:49:14.667677,0 days 00:04:52.412183,10,0.15998758090080728,0.3409245196911916,0.00015051451858056583,big,0.00031216787177569256,5,3029,5,1024,0.9996878321282243,COMPLETE
